,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime
2,11.66,12.61,11.48,85311,12.53,15200047,12.054332,2016-01-04 05:00:00+00:00,1451912400.0
3,11.79,12.09,11.18,85091,11.66,13550593,11.53109,2016-01-11 05:00:00+00:00,1452517200.0
4,12.59,12.82,10.76,82374,11.78,12258791,11.881506,2016-01-18 05:00:00+00:00,1453122000.0
5,12.29,12.65,11.46,125681,12.25,18898733,12.15166,2016-01-25 05:00:00+00:00,1453726800.0
6,11.78,12.44,11.15,105128,12.1,17994866,11.831673,2016-02-01 05:00:00+00:00,1454331600.0
7,10.47,11.71,9.1,131030,11.53,22918799,10.338317,2016-02-08 05:00:00+00:00,1454936400.0
8,10.55,11.13,10.35,75639,10.64,11977730,10.717976,2016-02-15 05:00:00+00:00,1455541200.0
9,11.02,11.34,10.02,72989,10.82,11685754,10.697554,2016-02-22 05:00:00+00:00,1456146000.0
10,12.54,12.65,11.13,87900,11.13,14550842,11.903676,2016-02-29 05:00:00+00:00,1456750800.0
11,13.13,13.205,12.21,83113,12.53,14573786,12.719813,2016-03-07 05:00:00+00:00,1457355600.0
12,13.62,13.97,12.65,63191,12.88,10341193,13.363909,2016-03-14 04:00:00+00:00,1457956800.0
13,12.76,13.79,12.31,45799,13.59,7635396,13.120487,2016-03-21 04:00:00+00:00,1458561600.0
14,12.77,13.45,12.55,49770,12.81,8589413,12.905692,2016-03-28 04:00:00+00:00,1459166400.0
15,13.08,13.33,12.25,48076,12.76,7892148,12.63102,2016-04-04 04:00:00+00:00,1459771200.0
16,13.43,14.31,13.01,48993,13.16,8438539,13.701351,2016-04-11 04:00:00+00:00,1460376000.0
17,15.18,15.36,12.92,74627,13.02,12568683,14.422084,2016-04-18 04:00:00+00:00,1460980800.0
18,15.84,16.07,14.785,90049,15.12,15299525,15.345431,2016-04-25 04:00:00+00:00,1461585600.0
19,14.77,15.8,14.42,85239,15.78,13113792,14.936682,2016-05-02 04:00:00+00:00,1462190400.0
20,14.73,15.325,14.11,64020,14.65,10003732,14.642903,2016-05-09 04:00:00+00:00,1462795200.0
21,14.61,15.48,14.35,64423,14.95,9743739,15.001609,2016-05-16 04:00:00+00:00,1463400000.0
22,15.47,15.59,14.33,57959,14.44,8929200,15.071027,2016-05-23 04:00:00+00:00,1464004800.0
23,15.27,15.71,14.78,45217,15.4,6750777,15.199378,2016-05-30 04:00:00+00:00,1464609600.0
24,14.73,16.56,14.71,68175,15.43,10825845,15.64368,2016-06-06 04:00:00+00:00,1465214400.0
25,14.05,15.095,13.54,61998,14.66,10113107,14.334824,2016-06-13 04:00:00+00:00,1465819200.0
26,13.74,14.825,13.51,54114,14.42,8736917,14.354861,2016-06-20 04:00:00+00:00,1466424000.0
27,14.05,14.1,12.9,53240,13.52,9302519,13.493076,2016-06-27 04:00:00+00:00,1467028800.0
28,13.86,13.99,13.23,40093,13.82,6574588,13.672123,2016-07-04 04:00:00+00:00,1467633600.0
29,14.18,14.48,13.65,61575,13.92,10560435,14.083541,2016-07-11 04:00:00+00:00,1468238400.0
30,14.16,14.52,13.925,64083,14.07,12039508,14.219991,2016-07-18 04:00:00+00:00,1468843200.0
31,14.3,14.35,13.11,74514,13.97,12424089,13.840788,2016-07-25 04:00:00+00:00,1469448000.0
32,14.47,14.76,13.47,52704,14.04,8992701,14.133491,2016-08-01 04:00:00+00:00,1470052800.0
33,14.75,15.03,14.33,41939,14.65,6813218,14.703679,2016-08-08 04:00:00+00:00,1470657600.0
34,15.44,15.72,14.87,39131,14.89,6277207,15.325343,2016-08-15 04:00:00+00:00,1471262400.0
35,14.85,15.3,14.75,38157,15.15,6866939,15.036533,2016-08-22 04:00:00+00:00,1471867200.0
36,14.85,15.14,14.27,47379,14.7,8441027,14.686625,2016-08-29 04:00:00+00:00,1472472000.0
37,14.65,15.35,14.54,44687,14.94,7646342,14.863419,2016-09-05 04:00:00+00:00,1473076800.0
38,13.54,14.58,13.37,54049,14.4,8661110,13.815186,2016-09-12 04:00:00+00:00,1473681600.0
39,13.53,14.1,13.26,40293,13.72,6908382,13.609431,2016-09-19 04:00:00+00:00,1474286400.0
40,14.37,14.64,12.93,71798,13.63,13140871,13.923974,2016-09-26 04:00:00+00:00,1474891200.0
41,14.9,15.24,13.96,60058,14.41,10893233,14.700005,2016-10-03 04:00:00+00:00,1475496000.0
42,15.62,15.88,15.0,50838,15.14,8839000,15.41635,2016-10-10 04:00:00+00:00,1476100800.0
43,15.68,15.85,15.21,48064,15.6,8319047,15.532546,2016-10-17 04:00:00+00:00,1476705600.0
44,14.96,15.96,14.9,68737,15.63,11021502,15.351715,2016-10-24 04:00:00+00:00,1477310400.0
45,13.77,14.85,13.36,67073,14.8,10868729,14.153127,2016-10-31 04:00:00+00:00,1477915200.0
46,14.0,14.42,13.685,50072,13.95,7226910,14.075355,2016-11-07 05:00:00+00:00,1478523600.0
47,14.52,14.98,13.615,42275,14.0,5922109,14.44295,2016-11-14 05:00:00+00:00,1479128400.0
48,14.8,15.4,14.7,30729,14.88,4804292,15.043173,2016-11-21 05:00:00+00:00,1479733200.0
49,15.62,16.11,13.94,73978,14.8,11440519,15.202382,2016-11-28 05:00:00+00:00,1480338000.0
50,15.68,15.91,15.25,55020,15.78,8329438,15.593769,2016-12-05 05:00:00+00:00,1480942800.0
51,15.88,16.82,15.16,82630,16.25,14692175,15.936731,2016-12-12 05:00:00+00:00,1481547600.0
52,15.13,15.98,15.11,37547,15.84,5834418,15.599985,2016-12-19 05:00:00+00:00,1482152400.0
53,15.13,15.29,14.96,31680,15.13,5094532,15.108847,2016-12-26 05:00:00+00:00,1482757200.0
54,15.3,15.54,15.12,37654,15.33,5786153,15.278165,2017-01-02 05:00:00+00:00,1483362000.0
55,14.75,15.21,14.61,56177,15.14,10237297,14.86478,2017-01-09 05:00:00+00:00,1483966800.0
56,14.61,15.11,14.41,46184,14.96,8848694,14.728781,2017-01-16 05:00:00+00:00,1484571600.0
57,13.83,14.51,13.82,48474,14.18,9744643,14.17368,2017-01-23 05:00:00+00:00,1485176400.0
58,13.74,13.83,13.405,49753,13.74,9007144,13.630933,2017-01-30 05:00:00+00:00,1485781200.0
59,13.56,13.71,13.02,54528,13.71,10174010,13.322607,2017-02-06 05:00:00+00:00,1486386000.0
60,13.66,14.46,13.32,57703,13.5,11005777,13.773001,2017-02-13 05:00:00+00:00,1486990800.0
61,12.94,14.1,12.91,40354,13.85,7853307,13.490156,2017-02-20 05:00:00+00:00,1487595600.0
62,12.77,13.18,12.54,49792,13.0,9969460,12.796555,2017-02-27 05:00:00+00:00,1488200400.0
63,12.08,12.91,11.755,49560,12.72,9466784,12.261561,2017-03-06 05:00:00+00:00,1488805200.0
64,12.36,12.7,11.66,59652,12.01,11767430,12.202474,2017-03-13 04:00:00+00:00,1489406400.0
65,12.61,12.83,12.21,56887,12.28,12093990,12.534594,2017-03-20 04:00:00+00:00,1490011200.0
66,11.3,13.32,11.115,197843,12.42,67094828,11.72402,2017-03-27 04:00:00+00:00,1490616000.0
67,10.96,11.45,10.92,113427,11.35,31141764,11.204014,2017-04-03 04:00:00+00:00,1491220800.0
68,10.7,11.29,10.64,74161,11.04,20218684,10.956037,2017-04-10 04:00:00+00:00,1491825600.0
69,10.49,10.95,10.18,73252,10.76,19173039,10.558744,2017-04-17 04:00:00+00:00,1492430400.0
70,9.98,10.65,9.785,93727,10.61,25703284,10.206227,2017-04-24 04:00:00+00:00,1493035200.0
71,9.46,9.97,9.18,90521,9.93,23949441,9.643886,2017-05-01 04:00:00+00:00,1493640000.0
72,9.6,9.96,9.415,59391,9.46,13949854,9.647437,2017-05-08 04:00:00+00:00,1494244800.0
73,9.68,9.94,9.11,80051,9.9,17692951,9.518043,2017-05-15 04:00:00+00:00,1494849600.0
74,9.38,9.75,9.16,64569,9.71,15688168,9.479714,2017-05-22 04:00:00+00:00,1495454400.0
75,8.58,9.37,8.43,73522,9.3,20543909,8.864624,2017-05-29 04:00:00+00:00,1496059200.0
76,8.25,8.65,7.81,112305,8.53,29755557,8.249173,2017-06-05 04:00:00+00:00,1496664000.0
77,7.91,8.71,7.81,115437,8.39,33154342,8.319327,2017-06-12 04:00:00+00:00,1497268800.0
78,6.9,8.08,6.76,113818,7.96,42599767,7.072018,2017-06-19 04:00:00+00:00,1497873600.0
79,7.37,7.57,6.86,83256,6.98,24984392,7.270644,2017-06-26 04:00:00+00:00,1498478400.0
80,7.0,7.66,6.9,66483,7.36,20417926,7.084907,2017-07-03 04:00:00+00:00,1499083200.0
81,7.32,7.42,6.9,64958,6.98,19012399,7.190563,2017-07-10 04:00:00+00:00,1499688000.0
82,7.45,7.8381,7.31,78943,7.33,23212512,7.520626,2017-07-17 04:00:00+00:00,1500292800.0
83,8.51,8.86,7.42,139442,7.54,42079173,8.246573,2017-07-24 04:00:00+00:00,1500897600.0
84,8.32,8.6,7.91,111208,8.47,34531216,8.228642,2017-07-31 04:00:00+00:00,1501502400.0
85,8.01,8.5,7.91,77703,8.25,21271102,8.186331,2017-08-07 04:00:00+00:00,1502107200.0
86,7.5,8.05,7.385,64514,7.98,19037940,7.626492,2017-08-14 04:00:00+00:00,1502712000.0
87,7.44,7.57,7.31,44378,7.44,11722066,7.417045,2017-08-21 04:00:00+00:00,1503316800.0
88,8.02,8.14,7.28,59759,7.46,17563761,7.640225,2017-08-28 04:00:00+00:00,1503921600.0
89,8.12,8.49,8.1,65222,8.23,19529276,8.293767,2017-09-04 04:00:00+00:00,1504526400.0
90,9.04,9.225,8.145,87361,8.16,28247740,8.9062,2017-09-11 04:00:00+00:00,1505131200.0
91,10.28,10.35,8.99,107838,9.05,36999823,9.79194,2017-09-18 04:00:00+00:00,1505736000.0
92,10.02,10.69,9.95,95675,10.65,26654401,10.236415,2017-09-25 04:00:00+00:00,1506340800.0
93,9.61,9.99,9.49,63262,9.81,19767741,9.81352,2017-10-02 04:00:00+00:00,1506945600.0
94,9.72,9.85,9.47,56773,9.7,16272389,9.651282,2017-10-09 04:00:00+00:00,1507550400.0
95,9.91,10.05,9.65,66491,9.78,17755811,9.87776,2017-10-16 04:00:00+00:00,1508155200.0
96,9.66,10.0,9.214,70635,10.0,19623187,9.541405,2017-10-23 04:00:00+00:00,1508760000.0
